query,street1,street2,city,lat,long,formatted_address
"49 Ave & Granville, Vancouver, BC",49 Ave,Granville,Vancouver,49.2269604,-123.1398446,"Granville St & W 49th Ave, Vancouver, BC V6M 3E7, Canada"
"Broadway & Granville, Vancouver, BC",Broadway,Granville,Vancouver,49.2635611,-123.1385968,"Granville St & W Broadway, Vancouver, BC V6H 3G7, Canada"
"Robson & Granville, Vancouver, BC",Robson,Granville,Vancouver,49.2813649,-123.1198429,"Robson St & Granville St, Vancouver, BC V6Z 1A1, Canada"
"Robson & Granville, Vancouver, BC",Robson,Granville,Vancouver,49.2813649,-123.1198429,"Robson St & Granville St, Vancouver, BC V6Z 1A1, Canada"
"Commercial & Broadway, Vancouver, BC",Commercial,Broadway,Vancouver,49.2623855,-123.0697676,"Commercial Dr & E Broadway, Vancouver, BC V5N 1W2, Canada"
"Trapp & Marine, New Westminster, BC",Trapp,Marine,New Westminster,49.1981172,-122.9531483,"Marine Dr & Trapp Rd, New Westminster, BC V3M 6R8, Canada"
"Thunderbird Arena & Wesbrook Mall, Vancouver, BC",Thunderbird Arena,Wesbrook Mall,Vancouver,49.2605684,-123.2414123,"6066 Thunderbird Blvd, Vancouver, BC V6T 1Z3, Canada"
"Rosser & Hastings, Burnaby, BC",Rosser,Hastings,Burnaby,49.2810243,-123.0058667,"Hastings St & Rosser Ave, Burnaby, BC V5C 2K2, Canada"
"Granville & 41 Ave, Vancouver, BC",Granville,41 Ave,Vancouver,49.2343405,-123.1396258,"Granville St & W 41st Ave, Vancouver, BC V6M 1X7, Canada"
"Cambie & Hastings, Vancouver, BC",Cambie,Hastings,Vancouver,49.2825406,-123.1095738,"Cambie St & W Hastings St, Vancouver, BC V6B 2N4, Canada"
"Fell & Marine, North Vancouver, BC",Fell,Marine,North Vancouver,49.3212542,-123.0946554,"Marine Dr & Fell Ave, North Vancouver, BC V7P 1R8, Canada"
"Pemberton & 22 St, North Vancouver, BC",Pemberton,22 St,North Vancouver,49.3297185,-123.1017884,"W 22nd St, North Vancouver, BC, Canada"
"6 Ave & 8 St, New Westminster, BC",6 Ave,8 St,New Westminster,49.211176,-122.9240099,"6th Ave & 8th St, New Westminster, BC V3M 3S2, Canada"
"Grandview Hwy & Nanaimo, Vancouver, BC",Grandview Hwy,Nanaimo,Vancouver,49.257711,-123.0565571,"South Grandview Highway & Nanaimo St, Vancouver, BC V5N 5G3, Canada"
"Tatlon & Marine, North Vancouver, BC",Tatlon,Marine,North Vancouver,49.314806,-123.0895539,"419 Esplanade W, North Vancouver, BC V7M 1A6, Canada"
"Blenheim & Broadway, Vancouver, BC",Blenheim,Broadway,Vancouver,49.2642457,-123.1778372,"W Broadway & Blenheim St, Vancouver, BC V6K 4N7, Canada"
"Stop 5 & 6 & Lonsdale Quay, North Vancouver, BC",Stop 5 & 6,Lonsdale Quay,North Vancouver,49.310917,-123.08258,"Lonsdale Quay @ Bay 3, North Vancouver, BC V7M 3L4, Canada"
"7 Ave & Main, Vancouver, BC",7 Ave,Main,Vancouver,49.2646204,-123.1009915,"Main St & E 7th Ave, Vancouver, BC V5T, Canada"
"Sussex & Bond, Burnaby, BC",Sussex,Bond,Burnaby,49.2354072,-122.9978276,"Bond St & Sussex Ave, Burnaby, BC V5H 3B2, Canada"
"Georgia & Cambie, Vancouver, BC",Georgia,Cambie,Vancouver,49.2793345,-123.1132596,"W Georgia St & Cambie St, Vancouver, BC V6B 4P4, Canada"
"Wesbrook Mall & 16 Ave, Vancouver, BC",Wesbrook Mall,16 Ave,Vancouver,49.256287,-123.234956,"Westbound W 16 Ave @ Wesbrook Mall, University Endowment Lands, BC V6S, Canada"
"Cambie & 2 Ave, Vancouver, BC",Cambie,2 Ave,Vancouver,49.2540505,-123.1150032,"511 W 19th Ave, Vancouver, BC V5Z 2W8, Canada"
"Robson & Burrard, Vancouver, BC",Robson,Burrard,Vancouver,49.2832975,-123.1228016,"Robson St & Burrard St, Vancouver, BC V6E 1A9, Canada"
"49 Ave & Knight, Vancouver, BC",49 Ave,Knight,Vancouver,49.2253525,-123.0774146,"Knight St & E 49th Ave, Vancouver, BC V5W 2J6, Canada"
"33 Ave & Granville, Vancouver, BC",33 Ave,Granville,Vancouver,49.2418674,-123.1393324,"Granville St & W 33rd Ave, Vancouver, BC V6H 3M2, Canada"
"67 Ave & Oak, Vancouver, BC",67 Ave,Oak,Vancouver,49.210724,-123.130187,"W 67th Ave & Oak St, Vancouver, BC V6P 4B1, Canada"
"South Surrey Exit Park & Ride & South Surrey Exit Park & Ride, Surrey, BC",South Surrey Exit Park & Ride,South Surrey Exit Park & Ride,Surrey,49.0721037,-122.8218102,"King George Blvd, Surrey, BC V3T 5H9, Canada"
"Howe & Davie, Vancouver, BC",Howe,Davie,Vancouver,49.277807,-123.1272001,"Davie St & Howe St, Vancouver, BC V6Z 0A8, Canada"
"Kingsway & Joyce, Vancouver, BC",Kingsway,Joyce,Vancouver,49.2342077,-123.0358375,"Joyce St & Kingsway, Vancouver, BC V5R, Canada"
"B/W Maple & East Blvd & 41 Ave, Vancouver, BC",B/W Maple & East Blvd,41 Ave,Vancouver,49.234539,-123.155008,"East Blvd & W 41st Ave, Vancouver, BC V6M, Canada"
"17 Ave & Fraser, Vancouver, BC",17 Ave,Fraser,Vancouver,49.2555288,-123.0898615,"E 17th Ave & Fraser St, Vancouver, BC V5V 4C1, Canada"
"29 Ave & Fraser, Vancouver, BC",29 Ave,Fraser,Vancouver,49.2445582,-123.0902533,"E 29th Ave & Fraser St, Vancouver, BC V5V 4G7, Canada"
"B/W Maple & East Blvd & 41 Ave, Vancouver, BC",B/W Maple & East Blvd,41 Ave,Vancouver,49.234539,-123.155008,"East Blvd & W 41st Ave, Vancouver, BC V6M, Canada"
"Balsam  & 41 Ave, Vancouver, BC",Balsam ,41 Ave,Vancouver,49.2346745,-123.1613499,"W 41st Ave & Balsam St, Vancouver, BC V6M 2A7, Canada"
"B/W 10  Ave & Broadway & Main, Vancouver, BC",B/W 10  Ave & Broadway,Main,Vancouver,49.26277,-123.1044964,"10 E Broadway W, Vancouver, BC V5T 1V6, Canada"
"Woodland & Broadway, Vancouver, BC",Woodland,Broadway,Vancouver,49.262447,-123.0740669,"Westbound E Broadway @ Woodland Dr, Vancouver, BC V5N 1V8, Canada"
"Skeena & Broadway, Vancouver, BC",Skeena,Broadway,Vancouver,49.2875812,-123.1171222,"1021 W Hastings St #650, Vancouver, BC V6E 0C3, Canada"
"142 St & 64 Ave, Surrey, BC",142 St,64 Ave,Surrey,49.1191654,-122.8288047,"64 Ave & 142 St, Surrey, BC V3W 5M6, Canada"
"49 Ave & Granville, Vancouver, BC",49 Ave,Granville,Vancouver,49.2269604,-123.1398446,"Granville St & W 49th Ave, Vancouver, BC V6M 3E7, Canada"
"Dunbar Loop & Dunbar Loop, Vancouver, BC",Dunbar Loop,Dunbar Loop,Vancouver,49.234593,-123.1857501,"Dunbar St @ Dunbar Loop, Vancouver, BC V6N, Canada"
"Dunbar Loop & Dunbar Loop, Vancouver, BC",Dunbar Loop,Dunbar Loop,Vancouver,49.234593,-123.1857501,"Dunbar St @ Dunbar Loop, Vancouver, BC V6N, Canada"
"49 Ave & Granville, Vancouver, BC",49 Ave,Granville,Vancouver,49.2269604,-123.1398446,"Granville St & W 49th Ave, Vancouver, BC V6M 3E7, Canada"
"54 Ave & Kinght, Vancouver, BC",54 Ave,Kinght,Vancouver,49.2204232,-123.0774775,"Knight St & E 54th Ave, Vancouver, BC V5P 1Y1, Canada"
"Ellesmere & Hastings, Burnaby, BC",Ellesmere,Hastings,Burnaby,49.2803458,-122.9823136,"Ellesmere Ave & Hastings St, Burnaby, BC V5B 1R2, Canada"
"80 Ave & 112 St, Delta, BC",80 Ave,112 St,Delta,49.1486605,-122.9125579,"80 Ave & 112 St, Delta, BC V4C 4W4, Canada"
"33 Ave & Granville, Vancouver, BC",33 Ave,Granville,Vancouver,49.2418674,-123.1393324,"Granville St & W 33rd Ave, Vancouver, BC V6H 3M2, Canada"
"Side Fence & Coquitlam Station, Coquitlam, BC",Side Fence,Coquitlam Station,Coquitlam,49.2739076,-122.800077,"Coquitlam Central, 2900 Barnet Hwy, Coquitlam, BC V3B 0G1, Canada"
"Davie & Granville, Vancouver, BC",Davie,Granville,Vancouver,49.277146,-123.1261827,"Granville St & Davie St, Vancouver, BC V6B 2G6, Canada"
"Kootenay & Hastings, Vancouver, BC",Kootenay,Hastings,Vancouver,49.2811202,-123.0256976,"Kootenay St & E Hastings St, Vancouver, BC V5K 2A9, Canada"
"B/W National & Prior & Main, Vancouver, BC",B/W National & Prior,Main,Vancouver,49.2769016,-123.0997601,"Main St & Prior St, Vancouver, BC V6A, Canada"
"Nanaimo & Broadway, Vancouver, BC",Nanaimo,Broadway,Vancouver,49.2620945,-123.0564871,"E Broadway & Nanaimo St, Vancouver, BC V5M 4T9, Canada"
"Bay 1 & Phibbs Exch, North Vancouver, BC",Bay 1,Phibbs Exch,North Vancouver,49.305174,-123.0286,"Phibbs Exchange @ Bay 1, North Vancouver, BC V7J, Canada"
"Bay 1 & Phibbs Exch, North Vancouver, BC",Bay 1,Phibbs Exch,North Vancouver,49.305174,-123.0286,"Phibbs Exchange @ Bay 1, North Vancouver, BC V7J, Canada"
"14 Ave & Oak, Vancouver, BC",14 Ave,Oak,Vancouver,49.258739,-123.1267995,"W 14th Ave & Oak St, Vancouver, BC V6H 2K7, Canada"
