street1,street2,city,date,desc,bus_year,bus_manufacturer,lat,long,formatted_address
W 7 Ave,Granville St,Vancouver,2020-01-31 00:00:00,Collisions With Other Vehicles,2008,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
96 Ave,132 St,Surrey,2020-01-30 00:00:00,Collisions With Other Vehicles,2018,Wf,49.15866320000001,-122.8569313,"132 St, Surrey, BC, Canada"
Pinetree Way,Lougheed Hwy,Coquitlam,2020-01-30 00:00:00,Collisions With Other Vehicles,2017,Gm,49.2600981,-122.7588574,"Lougheed Hwy, Coquitlam, BC, Canada"
Mackenzie St,W 41St Ave,Vancouver,2020-01-30 00:00:00,Collisions With Other Vehicles,2018,Nov,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
108 Ave,160 St,Surrey,2020-01-29 00:00:00,Collisions With Objects,2006,Wf,49.1308258,-122.7786444,"160 St, British Columbia, Canada"
Tenth Ave,Twelfth St,New Westminster,2020-01-29 00:00:00,Collisions With Objects,2009,Nov,49.2073926,-122.9302364,"12th St, New Westminster, BC V3M, Canada"
Thurlow St,W Georgia St,Vancouver,2020-01-28 00:00:00,Collisions With Other Vehicles,2007,Nov,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Woodland Dr,E Broadway St,Vancouver,2020-01-28 00:00:00,Collisions With Other Vehicles,2009,Wf,49.261889,-123.055558,"EB E Broadway at Nanaimo St, Vancouver, BC V5M 4T9, Canada"
Nan,Hamilton Track,New Westminster,2020-01-28 00:00:00,Collisions With Other Vehicles,2009,Nov,49.2072349,-122.9378389,"Hamilton St, New Westminster, BC V3M, Canada"
Hamilton St,W Pender St,Vancouver,2020-01-28 00:00:00,Collisions With Objects,2009,Nov,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
Riverside Dr,Fremont St,Port Coquitlam,2020-01-27 00:00:00,Collisions With Other Vehicles,2016,Gm,49.2704275,-122.7337744,"Fremont St, Port Coquitlam, BC V3B, Canada"
W 17 Ave,Granville St,Vancouver,2020-01-27 00:00:00,Collisions With Objects,2009,Nov,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Bernatchey St,Brunette Ave,Coquitlam,2020-01-26 00:00:00,Collisions With Other Vehicles,2014,Wf,49.237386,-122.8686854,"Brunette Ave, British Columbia, Canada"
Saba Rd,Buswell St,Richmond,2020-01-26 00:00:00,Collisions With Objects,2016,Wf,49.1665102,-123.133704,"Buswell St, Richmond, BC, Canada"
Nan,Coquitlam Bus Loop,Coquitlam,2020-01-25 00:00:00,Collisions With Other Vehicles (At G/C),2014,Wf,49.2752146,-122.7988527,"Coquitlam Central Stn at Bay 9, Coquitlam, BC V3B, Canada"
Trimble St,W 10 Ave,Vancouver,2020-01-24 00:00:00,Collisions With Other Vehicles,2009,Wf,49.2629744,-123.1600625,"W 10th Ave, Vancouver, BC, Canada"
Nan,Dunbar Loop,Vancouver,2020-01-24 00:00:00,Collisions With Other Vehicles (At G/C),2007,Nov,49.234593,-123.1857501,"Dunbar St @ Dunbar Loop, Vancouver, BC V6N, Canada"
Parker St,Commerical Dr,Vancouver,2020-01-24 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2691439,-123.0696654,"Commercial Dr, Vancouver, BC, Canada"
Winch St,Holdom Ave,Burnaby,2020-01-24 00:00:00,Collisions With Other Vehicles,2009,Nov,49.2733543,-122.9811182,"Holdom Ave, Burnaby, BC V5B, Canada"
King Edward Ave,Granville St,Vancouver,2020-01-23 00:00:00,Collisions With Other Vehicles,2007,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Best St,Russell Ave,Whiterock,2020-01-23 00:00:00,Collisions With Other Vehicles,2017,Gm,49.029252,-122.791677,"Russell Ave, White Rock, BC V4B, Canada"
